Date,Actual,Predicted
2024-08-14,82.15,81.98242
2024-08-15,83.09,72.357956
2024-08-16,81.56,83.61875
2024-08-17,81.56,82.21208
2024-08-18,81.56,79.7477
2024-08-19,81.09,81.032875
2024-08-20,78.85,80.4137
2024-08-21,78.77,77.33804
2024-08-22,78.8,77.983406
2024-08-23,80.34,78.06277
2024-08-24,80.34,81.430695
2024-08-25,80.34,80.840355
2024-08-26,80.34,80.329414
2024-08-27,81.51,80.89179
2024-08-28,80.04,79.77153
2024-08-29,81.55,79.053825
2024-08-30,80.2,80.36889
2024-08-31,80.2,79.45724
2024-09-01,80.2,79.38563
2024-09-02,77.82,80.01567
2024-09-03,76.46,76.57225
2024-09-04,74.67,75.53221
2024-09-05,74.47,76.103226
2024-09-06,72.82,75.13525
2024-09-07,72.82,72.01608
2024-09-08,72.82,72.219955
2024-09-09,72.37,72.982086
2024-09-10,70.34,72.654305
2024-09-11,70.31,70.91022
2024-09-12,73.81,71.06988
2024-09-13,73.68,74.80088
2024-09-14,73.68,74.451584
2024-09-15,73.68,73.93159
2024-09-16,73.96,74.26946
2024-09-17,74.55,73.170105
2024-09-18,74.52,73.49341
2024-09-19,75.93,74.40036
2024-09-20,75.96,75.413055
2024-09-21,75.96,76.990486
2024-09-22,75.96,76.537605
2024-09-23,74.95,77.49371
2024-09-24,75.29,75.20901
2024-09-25,75.4,71.61136
2024-09-26,73.06,73.515434
2024-09-27,71.63,73.577896
2024-09-28,71.63,72.22404
2024-09-29,71.63,69.642456
2024-09-30,72.35,71.23962
2024-10-01,75.3,72.56207
2024-10-02,74.86,75.61567
2024-10-03,77.57,74.96605
2024-10-04,79.32,76.332016
2024-10-05,79.32,78.163315
2024-10-06,79.32,78.45397
2024-10-07,81.74,78.027916
2024-10-08,78.19,80.91962
2024-10-09,77.06,79.19591
2024-10-10,79.45,77.40161
2024-10-11,80.27,81.66802
2024-10-12,80.27,80.64322
2024-10-13,80.27,81.298325
2024-10-14,78.47,80.69635
2024-10-15,73.68,78.23372
2024-10-16,73.65,73.66596
2024-10-17,74.37,72.705734
2024-10-18,72.75,74.22331
2024-10-19,72.75,68.99975
2024-10-20,72.75,72.26479
2024-10-21,73.29,72.71151
2024-10-22,75.59,74.036865
2024-10-23,74.68,75.73852
2024-10-24,74.27,74.67675
2024-10-25,75.62,74.47862
2024-10-26,75.62,74.78986
2024-10-27,75.62,77.863884
2024-10-28,71.87,75.55797
2024-10-29,71.09,73.111115
2024-10-30,73.21,71.04251
2024-10-31,73.25,72.05531
2024-11-01,73.63,72.66191
2024-11-02,73.63,73.05674
2024-11-03,73.63,74.04124
2024-11-04,74.89,73.85048
